"STATION","DATE","ARH","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00003131","2023-01-01",,"   66",,,,"  348",,,,"  139","  111",,"  280","  260","  112","  157","    1",,,"    1",
"USW00003131","2023-01-02",,"   28",,,,"   13",,,,"  144","   83",,"  250","  250","   67","   76","    1",,,,
"USW00003131","2023-01-03",,"   36",,,,"   69",,,,"  144","  106",,"  130","  130","   67","   89","    1",,,"    1",
"USW00003131","2023-01-04",,"   26",,,,"   23",,,,"  189","  133",,"  210","  240","   63","   76","    1",,,,
"USW00003131","2023-01-05",,"   35",,,,"   61",,,,"  156","  117",,"  170","  190","   94","  121","    1",,,,
"USW00003131","2023-01-06",,"   21",,,,"    3",,,,"  167","   72",,"  320","  320","   67","   81","    1","    1",,,
"USW00003131","2023-01-07",,"    9",,,,"    0",,,,"  200","   67",,"  250","  260","   31","   45","    1","    1",,,
"USW00003131","2023-01-08",,"   16",,,,"    0",,,,"  200","   78",,"  240","  240","   45","   58",,,,,
"USW00003131","2023-01-09",,"   29",,,,"    0",,,,"  183","   83",,"  140","  130","   67","   85",,,,,
"USW00003131","2023-01-10",,"   31",,,,"   86",,,,"  161","  100",,"  180","  170","   94","  125","    1",,,"    1",
"USW00003131","2023-01-11",,"   20",,,,"    0",,,,"  161","   72",,"  310","  300","   67","   76","    1",,,,
"USW00003131","2023-01-12",,"    6",,,,"    0",,,,"  228","   83",,"  340","  340","   36","   40",,,,,
"USW00003131","2023-01-13",,"   11",,,,"    0",,,,"  206","   83",,"  260","  260","   72","   85","    1",,,,
"USW00003131","2023-01-14",,"   38",,,,"  328",,,,"  150","   83",,"  210","  200","  107","  152","    1",,,"    1",
"USW00003131","2023-01-15",,"   26",,,,"  224",,,,"  156","  111",,"  220","  220","   98","  139","    1",,,,
"USW00003131","2023-01-16",,"   53",,,,"  300",,,,"  144","  100",,"  180","  190","  112","  152","    1",,,,
