"STATION","DATE","ACMC","ACMH","ACSC","ACSH","ADPT","ASLP","ASTP","AWBT","AWDR","AWND","DAEV","DAPR","DASF","DATN","DATX","DAWM","DWPR","EVAP","FMTM","FRGB","FRGT","FRTH","GAHT","MDEV","MDPR","MDSF","MDTN","MDTX","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SN01","SN02","SN03","SN11","SN12","SN13","SN14","SN21","SN22","SN23","SN31","SN32","SN33","SN34","SN35","SN36","SN51","SN52","SN53","SN54","SN55","SN56","SN57","SN61","SN72","SN81","SN82","SN83","SNOW","SNWD","SX01","SX02","SX03","SX11","SX12","SX13","SX14","SX15","SX17","SX21","SX22","SX23","SX31","SX32","SX33","SX34","SX35","SX36","SX51","SX52","SX53","SX54","SX55","SX56","SX57","SX61","SX72","SX81","SX82","SX83","TAVG","TAXN","THIC","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WESF","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03","WV07","WV18","WV20","alt","station_info","station_name","time"
"USW00003131","2023-01-01",,,,,,,,,,"   66",,,,,,,,,,,,,,,,,,,,,,,"  348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","  111",,,,"  280","  260",,,,,,,,"  112","  157",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-02",,,,,,,,,,"   28",,,,,,,,,,,,,,,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","   83",,,,"  250","  250",,,,,,,,"   67","   76",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-03",,,,,,,,,,"   36",,,,,,,,,,,,,,,,,,,,,,,"   69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","  106",,,,"  130","  130",,,,,,,,"   67","   89",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-04",,,,,,,,,,"   26",,,,,,,,,,,,,,,,,,,,,,,"   23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  189","  133",,,,"  210","  240",,,,,,,,"   63","   76",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-05",,,,,,,,,,"   35",,,,,,,,,,,,,,,,,,,,,,,"   61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","  117",,,,"  170","  190",,,,,,,,"   94","  121",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-06",,,,,,,,,,"   21",,,,,,,,,,,,,,,,,,,,,,,"    3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  167","   72",,,,"  320","  320",,,,,,,,"   67","   81",,,,"    1","    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-07",,,,,,,,,,"    9",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200","   67",,,,"  250","  260",,,,,,,,"   31","   45",,,,"    1","    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-08",,,,,,,,,,"   16",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200","   78",,,,"  240","  240",,,,,,,,"   45","   58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-09",,,,,,,,,,"   29",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  183","   83",,,,"  140","  130",,,,,,,,"   67","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-10",,,,,,,,,,"   31",,,,,,,,,,,,,,,,,,,,,,,"   86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161","  100",,,,"  180","  170",,,,,,,,"   94","  125",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
